movie_name,released_Year,runtime,Certificate,rating,vote_count,meta_score,director
It's a Wonderful Life,1946,2h 10m,PG,8.6,521K,89,Frank Capra
The Seventh Seal,1957,1h 36m,Not Rated,8.1,205K,88,Ingmar Bergman
The Conformist,1970,1h 53m,R,7.9,36K,100,Bernardo Bertolucci
Sansho the Bailiff,1954,2h 4m,Not Rated,8.4,19K,96,Kenji Mizoguchi
The Magnificent Ambersons,1942,1h 28m,Approved,7.6,27K,93,Orson Welles
The Shining,1980,2h 26m,R,8.4,1.1M,68,Stanley Kubrick
Blue Velvet,1986,2h,,7.7,222K,75,David Lynch
Viridiana,1961,1h 31m,Not Rated,8.0,27K,,Luis Buñuel
Pickpocket,1959,1h 16m,Not Rated,7.6,26K,,Robert Bresson
Nashville,1975,2h 40m,R,7.6,29K,96,Robert Altman
The Man Who Shot Liberty Valance,1962,2h 3m,Approved,8.1,85K,94,John Ford
Jaws,1975,2h 4m,PG,8.1,684K,87,Steven Spielberg
The Gold Rush,1925,1h 35m,Approved,8.1,122K,,Charles Chaplin
Gertrud,1964,1h 56m,Not Rated,7.3,7K,,Carl Theodor Dreyer
La Jetée,1962,28m,Not Rated,8.2,38K,,Chris Marker
Sans Soleil,1983,1h 40m,Not Rated,7.7,12K,,Chris Marker
Cléo from 5 to 7,1962,1h 30m,Not Rated,7.8,29K,87,Agnès Varda
Jules and Jim,1962,1h 45m,Not Rated,7.7,45K,97,François Truffaut
Meshes of the Afternoon,1943,14m,Not Rated,7.8,16K,,Maya Deren
Satantango,1994,7h 19m,Not Rated,8.2,13K,,Béla Tarr
Sherlock Jr.,1924,45m,Passed,8.2,60K,,Buster Keaton
To Be or Not to Be,1942,1h 39m,Approved,8.1,46K,86,Ernst Lubitsch
The Earrings of Madame De...,1953,1h 45m,Not Rated,7.9,11K,,Max Ophüls
Ali: Fear Eats the Soul,1974,1h 33m,Not Rated,8.0,25K,,Rainer Werner Fassbinder
The Mother and the Whore,1973,3h 30m,Not Rated,7.7,7K,89,Jean Eustache
A Clockwork Orange,1971,2h 16m,R,8.2,901K,77,Stanley Kubrick
"Aguirre, the Wrath of God",1972,1h 35m,Not Rated,7.8,64K,,Werner Herzog
Ikiru,1952,2h 23m,Not Rated,8.3,94K,92,Akira Kurosawa
Last Year at Marienbad,1961,1h 34m,Not Rated,7.6,26K,,Alain Resnais
Annie Hall,1977,1h 33m,PG,7.9,282K,92,Woody Allen
Come and See,1985,2h 22m,Not Rated,8.3,108K,,Elem Klimov
The Spirit of the Beehive,1973,1h 38m,Not Rated,7.8,21K,87,Víctor Erice
Greed,1924,2h 20m,Not Rated,8.0,11K,,Erich von Stroheim
The Piano,1993,2h 1m,R,7.5,97K,89,Jane Campion
A Brighter Summer Day,1991,3h 57m,Not Rated,8.2,14K,91,Edward Yang
Once Upon a Time in America,1984,3h 49m,R,8.3,389K,75,Sergio Leone
The Wizard of Oz,1939,1h 42m,G,8.1,444K,92,Victor Fleming
Yi Yi,2000,2h 53m,Not Rated,8.1,30K,94,Edward Yang
Hiroshima Mon Amour,1959,1h 30m,Not Rated,7.8,37K,,Alain Resnais
The Red Shoes,1948,2h 15m,Not Rated,8.1,41K,,Michael Powell
Don't Look Now,1973,1h 50m,R,7.1,65K,95,Nicolas Roeg
Bringing Up Baby,1938,1h 42m,Approved,7.8,68K,91,Howard Hawks
Intolerance,1916,2h 43m,Passed,7.7,17K,99,D.W. Griffith
Blow-Up,1966,1h 51m,Not Rated,7.4,70K,82,Michelangelo Antonioni
A Day in the Country,1946,40m,Not Rated,7.5,7.3K,,Jean Renoir
L'Eclisse,1962,2h 6m,Not Rated,7.7,23K,,Michelangelo Antonioni
Letter from an Unknown Woman,1948,1h 27m,Approved,7.9,14K,,Max Ophüls
A Matter of Life and Death,1946,1h 44m,PG,8.0,26K,,Michael Powell
Vivre sa vie,1962,1h 25m,Not Rated,7.8,36K,,Jean-Luc Godard
Notorious,1946,1h 42m,Approved,7.9,110K,100,Alfred Hitchcock
Alien,1979,1h 57m,R,8.5,999K,89,Ridley Scott
Imitation of Life,1959,2h 5m,Approved,7.8,19K,87,Douglas Sirk
All About Eve,1950,2h 18m,Approved,8.2,143K,98,Joseph L. Mankiewicz
Histoire(s) du cinéma,1988,,,7.2,863,,Jean-Luc Godard
My Darling Clementine,1946,1h 37m,Approved,7.7,27K,,John Ford
E.T. the Extra-Terrestrial,1982,1h 55m,PG,7.9,449K,92,Steven Spielberg
Spirited Away,2001,2h 4m,PG,8.6,889K,96,Hayao Miyazaki
The Exterminating Angel,1962,1h 35m,Not Rated,8.0,36K,,Luis Buñuel
The Young and the Damned,1950,1h 20m,Not Rated,8.2,23K,,Luis Buñuel
His Girl Friday,1940,1h 32m,Approved,7.8,65K,,Howard Hawks
The Gospel According to St. Matthew,1964,2h 17m,Not Rated,7.6,14K,,Pier Paolo Pasolini
Celine and Julie Go Boating,1974,3h 13m,Unrated,7.2,6.6K,100,Jacques Rivette
Gone with the Wind,1939,3h 58m,G,8.2,342K,97,Victor Fleming
Killer of Sheep,1978,1h 20m,,7.2,7.7K,96,Charles Burnett
One Flew Over the Cuckoo's Nest,1975,2h 13m,R,8.7,1.1M,84,Milos Forman
Daisies,1966,1h 15m,Not Rated,7.2,16K,,Vera Chytilová
Nosferatu: A Symphony of Horror,1922,1h 34m,Not Rated,7.8,113K,,F.W. Murnau
The Umbrellas of Cherbourg,1964,1h 31m,Not Rated,7.8,33K,86,Jacques Demy
Un chien andalou,1929,16m,Not Rated,7.6,55K,,Luis Buñuel
The Conversation,1974,1h 53m,PG,7.7,127K,88,Francis Ford Coppola
Wanda,1970,1h 42m,GP,7.1,6.1K,,Barbara Loden
L'Argent,1983,1h 25m,Not Rated,7.4,12K,95,Robert Bresson
Days of Heaven,1978,1h 34m,PG,7.7,65K,94,Terrence Malick
"Rome, Open City",1945,1h 43m,Not Rated,8.0,31K,,Roberto Rossellini
Trouble in Paradise,1932,1h 23m,Approved,7.9,17K,,Ernst Lubitsch
"The Good, the Bad and the Ugly",1966,2h 58m,R,8.8,839K,90,Sergio Leone
Chungking Express,1994,1h 42m,PG-13,8.0,101K,78,Wong Kar-Wai
Star Wars: Episode IV - A New Hope,1977,2h 1m,PG,8.6,1.5M,90,George Lucas
Manhattan,1979,1h 36m,R,7.8,150K,83,Woody Allen
My Neighbor Totoro,1988,1h 26m,G,8.1,398K,87,Hayao Miyazaki
There Will Be Blood,2007,2h 38m,R,8.2,660K,93,Paul Thomas Anderson
Tropical Malady,2004,1h 58m,Not Rated,7.1,6.5K,81,Apichatpong Weerasethakul
Cries & Whispers,1972,1h 32m,R,7.9,38K,,Ingmar Bergman
The Passenger,1975,2h 6m,PG,7.5,27K,90,Michelangelo Antonioni
Badlands,1973,1h 34m,PG,7.7,80K,94,Terrence Malick
L'âge d'or,1930,1h 3m,Not Rated,7.2,15K,,Luis Buñuel
The Deer Hunter,1978,3h 3m,R,8.1,371K,90,Michael Cimino
Dekalog,1989,,,8.9,30K,100,Artur Barcis
The Texas Chain Saw Massacre,1974,1h 23m,R,7.4,195K,91,Tobe Hooper
Double Indemnity,1944,1h 47m,Approved,8.3,173K,95,Billy Wilder
Duck Soup,1933,1h 9m,Approved,7.7,64K,93,Leo McCarey
The Discreet Charm of the Bourgeoisie,1972,1h 42m,PG,7.8,48K,93,Luis Buñuel
Touki Bouki,1973,1h 25m,Not Rated,7.0,4.3K,,Djibril Diop Mambéty
Stagecoach,1939,1h 36m,Approved,7.8,56K,93,John Ford
Rosemary's Baby,1968,2h 17m,R,8.0,245K,96,Roman Polanski
Only Angels Have Wings,1939,2h 1m,Approved,7.6,16K,86,Howard Hawks
Earth,1930,1h 15m,Unrated,7.2,6.6K,,Aleksandr Dovzhenko
The Color of Pomegranates,1969,1h 19m,Not Rated,7.6,15K,,Sergei Parajanov
Brief Encounter,1945,1h 26m,Approved,8.0,46K,92,David Lean
The Birds,1963,1h 59m,PG-13,7.6,211K,90,Alfred Hitchcock
Portrait of a Lady on Fire,2019,2h 2m,R,8.1,116K,95,Céline Sciamma
The River,1951,1h 39m,Approved,7.4,7.1K,,Jean Renoir
Mouchette,1967,1h 21m,Not Rated,7.7,13K,,Robert Bresson
Ran,1985,2h 40m,R,8.2,141K,97,Akira Kurosawa
Johnny Guitar,1954,1h 50m,Approved,7.6,20K,83,Nicholas Ray
Chimes at Midnight,1965,1h 55m,Not Rated,7.6,11K,94,Orson Welles
Vampyr,1932,1h 15m,Approved,7.4,21K,,Carl Theodor Dreyer
La Notte,1961,2h 2m,Not Rated,7.9,25K,,Michelangelo Antonioni
Out of the Past,1947,1h 37m,Approved,8.0,42K,85,Jacques Tourneur
The Tree of Life,2011,2h 19m,PG-13,6.8,187K,85,Terrence Malick
Spring in a Small Town,1948,1h 38m,,7.3,3.5K,,Mu Fei
Black Narcissus,1947,1h 41m,Approved,7.7,29K,86,Michael Powell
Napoleon,1927,5h 30m,,8.2,9.2K,,Abel Gance
Rocco and His Brothers,1960,2h 59m,Not Rated,8.2,23K,84,Luchino Visconti
Paisan,1946,2h,,7.6,9.9K,,Roberto Rossellini
"Salò, or the 120 Days of Sodom",1975,1h 57m,TV-MA,5.8,68K,,Pier Paolo Pasolini
A City of Sadness,1989,2h 37m,,7.8,6.4K,,Hsiao-Hsien Hou
